survey_id,cluster_id,status,interview_number,replacement_rank,pop_type,strata_id,region,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,admin3_source,admin3_cod_pcode,admin3_cod_name,uuid_hex,building_id,confidence,building_area_m2,latitude,longitude,x_utm,y_utm,households_in_cluster,target_households,reserve_households,selection_count,certainty_stratum,selection_type,below_target_cluster,reallocated,original_uuid_hex_pop,supplementary_cluster,location_source,households_in_cluster_source,site_radius_m,iom_site_id,iom_site_name,iom_site_type,iom_site_ward,n_other_sites_in_hex,idp_population_category
idp_NG002001_1_HH01,idp_NG002001_1,primary,1,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_HH02,idp_NG002001_1,primary,2,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_HH03,idp_NG002001_1,primary,3,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_HH04,idp_NG002001_1,primary,4,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_HH05,idp_NG002001_1,primary,5,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_HH06,idp_NG002001_1,primary,6,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_R01,idp_NG002001_1,reserve,NA,1,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_R02,idp_NG002001_1,reserve,NA,2,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_R03,idp_NG002001_1,reserve,NA,3,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_R04,idp_NG002001_1,reserve,NA,4,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_R05,idp_NG002001_1,reserve,NA,5,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_1_R06,idp_NG002001_1,reserve,NA,6,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA03,Demsa,GRID3,NG002001003,Demsa,NE_Adamawa_Demsa_hex_101,NA,NA,NA,9.459728004921386,12.177997964900127,3595564.6062736316,1173605.7797750698,128,6,6,1,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_REL004,Mugarang,Relocated Sites,Demsa,0,idps in host
idp_NG002001_2_HH01,idp_NG002001_2,primary,1,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH02,idp_NG002001_2,primary,2,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH03,idp_NG002001_2,primary,3,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH04,idp_NG002001_2,primary,4,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH05,idp_NG002001_2,primary,5,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH06,idp_NG002001_2,primary,6,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH07,idp_NG002001_2,primary,7,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH08,idp_NG002001_2,primary,8,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH09,idp_NG002001_2,primary,9,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH10,idp_NG002001_2,primary,10,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH11,idp_NG002001_2,primary,11,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH12,idp_NG002001_2,primary,12,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH13,idp_NG002001_2,primary,13,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH14,idp_NG002001_2,primary,14,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH15,idp_NG002001_2,primary,15,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH16,idp_NG002001_2,primary,16,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH17,idp_NG002001_2,primary,17,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_HH18,idp_NG002001_2,primary,18,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R01,idp_NG002001_2,reserve,NA,1,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R02,idp_NG002001_2,reserve,NA,2,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R03,idp_NG002001_2,reserve,NA,3,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R04,idp_NG002001_2,reserve,NA,4,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R05,idp_NG002001_2,reserve,NA,5,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R06,idp_NG002001_2,reserve,NA,6,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R07,idp_NG002001_2,reserve,NA,7,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R08,idp_NG002001_2,reserve,NA,8,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R09,idp_NG002001_2,reserve,NA,9,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R10,idp_NG002001_2,reserve,NA,10,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R11,idp_NG002001_2,reserve,NA,11,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R12,idp_NG002001_2,reserve,NA,12,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R13,idp_NG002001_2,reserve,NA,13,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R14,idp_NG002001_2,reserve,NA,14,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R15,idp_NG002001_2,reserve,NA,15,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R16,idp_NG002001_2,reserve,NA,16,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R17,idp_NG002001_2,reserve,NA,17,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_2_R18,idp_NG002001_2,reserve,NA,18,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA07,Gwamba,GRID3,NG002001007,Gwamba,NE_Adamawa_Demsa_hex_103,NA,NA,NA,9.60258000523336,12.19186996489254,3595762.285457972,1191392.8664632146,514,18,18,3,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_H016,Gwamba,Host Community,Gwamba,0,idps in host
idp_NG002001_5_HH01,idp_NG002001_5,primary,1,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH02,idp_NG002001_5,primary,2,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH03,idp_NG002001_5,primary,3,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH04,idp_NG002001_5,primary,4,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH05,idp_NG002001_5,primary,5,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH06,idp_NG002001_5,primary,6,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH07,idp_NG002001_5,primary,7,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
idp_NG002001_5_HH08,idp_NG002001_5,primary,8,NA,idp,idp_NG002001,NE,NG002,Adamawa,NG002001,Demsa,ADSDSA08,Kpasham,GRID3,NG002001008,Kpasham,NE_Adamawa_Demsa_hex_12,NA,NA,NA,9.300660004486751,11.762389965259867,3546301.3661764204,1149763.7192885142,162,12,12,2,FALSE,pps,FALSE,FALSE,NA,FALSE,idp_site_point,DTM_estimate_provisional,150,AD_INT001,Bajiye I,Integrated Sites,Kpasham,1,idps in host
